#notetype: sentence-zh
#deck: Chinese::Sentences
#tags: song song::jian
Sentence:爱|Pinyin:ài|Translation:Love|Words:爱|WordPinyin:ài|WordMeanings:love / to love|Audio:zh-7b8ef4b58a33.wav
Sentence:爱到万分执一念|Pinyin:ài dào wàn fēn zhí yí niàn|Translation:Loving to the utmost, clinging to a single thought|Words:爱,到,万分,执,一念|WordPinyin:ài,dào,wàn fēn,zhí,yí niàn|WordMeanings:to love,to the point of,utterly / extremely,to hold on to / cling to,a single thought|Audio:zh-180f624ae322.wav
Sentence:情到深处才懂何为缠绵|Pinyin:qíng dào shēn chù cái dǒng hé wéi chán mián|Translation:Only when feeling runs deep do you understand what tenderness is|Words:情,到,深处,才,懂,何为,缠绵|WordPinyin:qíng,dào,shēn chù,cái,dǒng,hé wéi,chán mián|WordMeanings:feeling / love,to reach,the depths,only then,to understand,what is,lingering tenderness / entwined|Audio:zh-b1df0262e3a7.wav
Sentence:怨|Pinyin:yuàn|Translation:Resentment|Words:怨|WordPinyin:yuàn|WordMeanings:resentment / to resent|Audio:zh-26eaf89d477b.wav
Sentence:欲念凝结成今天|Pinyin:yù niàn níng jié chéng jīn tiān|Translation:Desire congeals into today|Words:欲念,凝结,成,今天|WordPinyin:yù niàn,níng jié,chéng,jīn tiān|WordMeanings:desire / craving,to congeal / condense,to become / into,today|Audio:zh-e11247f3889a.wav
Sentence:何苦千年修得共枕眠|Pinyin:hé kǔ qiān nián xiū dé gòng zhěn mián|Translation:Why suffer a thousand years of cultivation just to share a pillow|Words:何苦,千年,修得,共枕眠|WordPinyin:hé kǔ,qiān nián,xiū dé,gòng zhěn mián|WordMeanings:why bother / why suffer,a thousand years,to earn through cultivation,to share a pillow and sleep|Audio:zh-5be09d86a964.wav
Sentence:厌|Pinyin:yàn|Translation:Weariness|Words:厌|WordPinyin:yàn|WordMeanings:to tire of / be fed up with|Audio:zh-c8dea0dcff7d.wav
Sentence:赏得一时成新鲜|Pinyin:shǎng dé yì shí chéng xīn xiān|Translation:Enjoyed for a moment, it passes for something new|Words:赏得,一时,成,新鲜|WordPinyin:shǎng dé,yì shí,chéng,xīn xiān|WordMeanings:to get to enjoy,a moment / for a while,to become,fresh / novel|Audio:zh-90830cfdf832.wav
Sentence:几圈兜转嘴边只得埋怨|Pinyin:jǐ quān dōu zhuǎn zuǐ biān zhǐ dé mán yuàn|Translation:A few turns around and all that is left on the lips is complaint|Words:几圈,兜转,嘴边,只得,埋怨|WordPinyin:jǐ quān,dōu zhuǎn,zuǐ biān,zhǐ dé,mán yuàn|WordMeanings:a few circles / rounds,to circle around,on the lips,can only / have no choice but,to complain / grumble|Audio:zh-66cd4f917364.wav
Sentence:何苦换来何苦 千难伴着万险|Pinyin:hé kǔ huàn lái hé kǔ qiān nán bàn zhe wàn xiǎn|Translation:Why bother, only to get more of the same — a thousand hardships alongside ten thousand perils|Words:何苦,换来,何苦,千难,伴着,万险|WordPinyin:hé kǔ,huàn lái,hé kǔ,qiān nán,bàn zhe,wàn xiǎn|WordMeanings:why bother,to get in exchange,why bother,a thousand hardships,accompanied by,ten thousand perils|Audio:zh-8f2246d7f797.wav
Sentence:只为求得一寸光阴和那一寸茧|Pinyin:zhǐ wèi qiú dé yí cùn guāng yīn hé nà yí cùn jiǎn|Translation:All just to win an inch of time and that one inch of cocoon|Words:只为,求得,一寸,光阴,和,那,一寸,茧|WordPinyin:zhǐ wèi,qiú dé,yí cùn,guāng yīn,hé,nà,yí cùn,jiǎn|WordMeanings:only for the sake of,to seek and obtain,one inch,time / the passing hours,and,that,one inch,cocoon / callus|Audio:zh-2e9d53221671.wav
Sentence:哎呀|Pinyin:āi yā|Translation:Oh dear|Words:哎呀|WordPinyin:āi yā|WordMeanings:oh dear / ai-ya|Audio:zh-d4b27be21ebc.wav
Sentence:若能回到那一天 回到相识那一眼|Pinyin:ruò néng huí dào nà yì tiān huí dào xiāng shí nà yì yǎn|Translation:If I could go back to that day, back to the glance when we first met|Words:若,能,回到,那一天,回到,相识,那一眼|WordPinyin:ruò,néng,huí dào,nà yì tiān,huí dào,xiāng shí,nà yì yǎn|WordMeanings:if,can / to be able to,to go back to,that day,to go back to,to become acquainted / first meet,that one glance|Audio:zh-b7f3a91de9ef.wav
Sentence:能否止住|Pinyin:néng fǒu zhǐ zhù|Translation:Could it be stopped|Words:能否,止住|WordPinyin:néng fǒu,zhǐ zhù|WordMeanings:whether one can,to stop / halt|Audio:zh-fe807a4e41d5.wav
Sentence:为你而流那滴泪 为你而来那一面|Pinyin:wèi nǐ ér liú nà dī lèi wèi nǐ ér lái nà yí miàn|Translation:That tear shed for you, that meeting come to for you|Words:为,你,而,流,那滴泪,为,你,而,来,那一面|WordPinyin:wèi,nǐ,ér,liú,nà dī lèi,wèi,nǐ,ér,lái,nà yí miàn|WordMeanings:for / for the sake of,you,and so / thereby,to shed / flow,that drop of a tear,for,you,and so,to come,that one meeting|Audio:zh-37fb34673f09.wav
Sentence:情能敌万般险 也闹得万般嫌|Pinyin:qíng néng dí wàn bān xiǎn yě nào de wàn bān xián|Translation:Love can withstand every peril, yet stirs up every kind of loathing|Words:情,能,敌,万般,险,也,闹得,万般,嫌|WordPinyin:qíng,néng,dí,wàn bān,xiǎn,yě,nào de,wàn bān,xián|WordMeanings:feeling / love,can,to withstand / be a match for,all kinds of / every sort,peril / danger,also / yet,to stir up so much that,every kind of,dislike / loathing|Audio:zh-190756834954.wav
